Measuring Drosophila (fruit fly) activity during microgravity exposure,11543046,,"Important advances in the understanding of the aging process could be obtained through comprehension of the changes experienced by Drosophila melanogaster (fruit flies) during microgravity. Previous experiments flown on Cosmos satellites and various Space Shuttle missions have shown a significant decrease in the life span of young male Drosophila after microgravity exposure. Additionally, postflight analysis indicated an accelerated aging of the microgravity exposed male flies since they exhibited a significant decrease in mating ability and a consistently lower negative geotaxis response than the 1 g ground controls. The negative geotaxis response is the Drosophila's reaction to move opposite to the Earth's gravitational vector when disturbed in certain manners. Researchers have hypothesized that the accelerated aging, is due to an increased locomotor activity which causes a subsequent increase in mitochondrial activity. The increased mitochondrial activity, in turn, causes increased aging through accelerated damage to the mitochondrial system. An increase in locomotor activity was indicated by analyzing only a fraction (1/6th of a second) of the 15 minute video recordings of groups of Drosophila taken approximately every two days during a 14-day Space Shuttle flight. The increased locomotor activity may be related to the Drosophila's negative geotaxis response in that the flies may be reacting to the absence of normal gravity by continuously searching for the gravity vector. The aims of this study are to develop methods to accurately measure individual Drosophila activity, use these derived methods in 1 g to create a Drosophila activity baseline, and use the methods during short and long duration microgravity exposure (sounding rockets, parabolic flights, Space Shuttle, International Space Station, etc.) to examine Drosophila activity. The role of the negative geotaxis response on locomotor activity will be examined by using two strains of behaviorally selected Drosophila, one that exhibits a large or hyper negative geotaxis response and another that has a positive geotaxis response, in addition to examining flies with a normal or negative geotaxis response.",1999,"M S Miller, T S Keller, M S Miller, M S Miller, T S Keller, M S Miller"
"GEM, a cluster of repetitive sequences in the Drosophila subobscura genome",10095103,10.1016/s0378-1119(99)00031-1,"GEM is a new family of repetitive sequences detected in the D. subobscura genome. Two of the four described GEM elements encompass a heterogeneous central module, with no detectable ORF, flanked by two long inverted repeats. These elements are composed of a set of repetitive modules, which are inverted repeat (IR), direct repeat (DR), palindromic sequence (PS), long sequence (LS) and short sequence (SS). These five modules can be found either clustered or dispersed as single modules in the D. subobscura genome, in euchromatic and heterochromatic regions. In addition to the 3' region of Adh retrosequences, single IR and LS blocks were found associated with the promoter region of different genes, in particular, LS-like blocks have also been found associated with functional genes in D. melanogaster and D. virilis. Conversely, the DR block is highly similar to satellite DNAs from some other species of the obscura group. In addition, GEM elements share some structural features with IS elements described in different Drosophila species. It is likely that both GEM and IS sequences would be vestiges of an ancestral transposable element.",1999,"M V Vivas, J GarcÃ­a-Planells, C Ruiz, G Marfany, N Paricio, R Gonz?lez-Duarte, R de Frutos, M V Vivas, J GarcÃ­a-Planells, C Ruiz, G Marfany, N Paricio, R Gonz?lez-Duarte, R de Frutos"
Voltage-gated sodium channel genes hscp and hDSC1 of Heliothis virescens F. genomic organization,10380099,10.1046/j.1365-2583.1999.820161.x,"We report the genomic sequence of hscp, a sodium channel alpha subunit gene for Heliothis virescens. A 32-kb genomic clone and six independent RT-PCR products covering almost the entire coding region of the gene, contained thirty-one deduced exons with a translation of 1695 residues. Overall amino acid similarity to the para locus of Drosophila melanogaster was 86%. The transcription of the gene was complex. Alternate splicing was evident for five optional exons and a pair of mutually exclusive exons. A number of alternatively spliced mRNA revealed a deduced translation product that included only the first homology domain. We also report the first partial sequence for hDSC1, a presumed orthologous of the DSC1 sodium channel alpha subunit gene of D. melanogaster.",1999,"Y Park, M F Taylor, R Feyereisen, Y Park, M F Taylor, R Feyereisen"
Correlated responses to selection on body size in Drosophila melanogaster,10505406,10.1017/s0016672399003778,"Correlated responses to artificial selection on body size in Drosophila melanogaster were investigated, to determine how the changes in size were produced during development. Selection for increased thorax length was associated with an increase in larval development time, an extended growth period, no change in growth rate, and an increased critical larval weight for pupariation. Selection for reduced thorax length was associated with reduced growth rate, no change in duration of larval development and a reduced critical larval weight for pupariation. In both lines selected for thorax length and lines selected for wing area, total body size changed in the same direction as the artificially selected trait. In large selection lines of both types, the increase in size was achieved almost entirely by an increase in cell number, while in the small lines the decrease in size was achieved predominantly by reduced cell size, and also by a reduction in cell number. The implications of the results for evolutionary-genetic change in body size in nature are discussed.",1999,"L Partridge, R Langelan, K Fowler, B Zwaan, V French, L Partridge, R Langelan, K Fowler, B Zwaan, V French"
Suppression of polyglutamine-mediated neurodegeneration in Drosophila by the molecular chaperone HSP70,10581028,10.1038/70532,"At least eight inherited human neurodegenerative diseases are caused by expansion of a polyglutamine domain within the respective proteins. This confers dominant toxicity on the proteins, leading to dysfunction and loss of neurons. Expanded polyglutamine proteins form aggregates, including nuclear inclusions (NI), within neurons, possibly due to misfolding of the proteins. NI are ubiquitinated and sequester molecular chaperone proteins and proteasome components, suggesting that disease pathogenesis includes activation of cellular stress pathways to help refold, disaggregate or degrade the mutant disease proteins. Overexpression of specific chaperone proteins reduces polyglutamine aggregation in transfected cells, but whether this alters toxicity is unknown. Using a Drosophila melanogaster model of polyglutamine disease, we show that directed expression of the molecular chaperone HSP70 suppresses polyglutamine-induced neurodegeneration in vivo. Suppression by HSP70 occurred without a visible effect on NI formation, indicating that polyglutamine toxicity can be dissociated from formation of large aggregates. Our studies indicate that HSP70 or related molecular chaperones may provide a means of treating these and other neurodegenerative diseases associated with abnormal protein conformation and toxicity.",1999,"J M Warrick, H Y Chan, G L Gray-Board, Y Chai, H L Paulson, N M Bonini, J M Warrick, H Y Chan, G L Gray-Board, Y Chai, H L Paulson, N M Bonini"
Sequence and phylogenetic analysis of the SNF4/AMPK gamma subunit gene from Drosophila melanogaster,10659773,10.1139/gen-42-6-1077,"To optimize gene expression under different environmental conditions, many organisms have evolved systems which can quickly up- and down-regulate the activity of other genes. Recently, the SNF1 kinase complex from yeast and the AMP-activated protein kinase complex from mammals have been shown to represent homologous metabolic sensors that are key to regulating energy levels under times of metabolic stress. Using heterologous probing, we have cloned the Drosophila melanogaster homologue of SNF4, the noncatalytic effector subunit from this kinase complex. A sequence corresponding to the partial genomic sequence as well as the full-length cDNA was obtained, and shows that the D. melanogaster SNF4 is encoded in a 1944-bp cDNA representing a protein of 648 amino acids (aa). Southern analysis of Drosophila genomic DNA in concert with a survey of mammalian SNF4 ESTs indicates that in metazoans, SNF4 is a duplicated gene, and possibly even a larger gene family. We propose that one gene copy codes for a short (330 aa) protein, whereas the second locus codes for a longer version (<410 aa) that is extended at the carboxy terminus, as typified by the Drosophila homologue presented here. Phylogenetic analysis of yeast, invertebrate, and multiple mammalian isoforms of SNF4 shows that the gene duplication likely occurred early in the metazoan lineage, as the protein products of the different loci are relatively divergent. When the phylogeny was extended beyond the SNF4 gene family, SNF4 shares sequence similarity with other cystathionine-beta-synthase domain-containing proteins, including IMP dehydrogenase and a variety of uncharacterized Methanococcus proteins.",1999,"E N Yoshida, B F Benkel, Y Fong, D A Hickey, E N Yoshida, B F Benkel, Y Fong, D A Hickey"
A direct screen identifies new flight muscle mutants on the Drosophila second chromosome,10471711,,"An ethyl methanesulfonate mutagenesis of Drosophila melanogaster was undertaken, and >3000 mutagenized second chromosomes were generated. More than 800 homozygous viable lines were established, and adults were screened directly under polarized light for muscle defects. A total of 16 mutant strains in which the indirect flight muscles were reduced in volume or disorganized or were otherwise abnormal were identified. These fell into seven recessive and one semidominant complementation groups. Five of these eight complementation groups, including the semidominant mutation, have been mapped using chromosomal deficiencies and meiotic recombination. Two complementation groups mapped close to the Myosin heavy chain gene, but they are shown to be in different loci. Developmental analysis of three mutations showed that two of these are involved in the early stages of adult myogenesis while the other showed late defects. This is the first report of results from a systematic and direct screen for recessive flight muscle defects. This mutant screen identifies genes affecting the flight muscles, which are distinct from those identified when screening for flightlessness.",1999,"U Nongthomba, N B Ramachandra, U Nongthomba, N B Ramachandra"
A compact gene cluster in Drosophila: the unrelated Cs gene is compressed between duplicated amd and Ddc,10231575,10.1016/s0378-1119(99)00096-7,"Cs, a gene with unknown function, and amd and Ddc, which encode decarboxylases, are among the most closely spaced genes in D. melanogaster. Untranslated 3' ends of the convergently transcribed genes Cs and Ddc are known to overlap by 88bp. A number of questions arise about the organization of this tightly-packed gene region and about the evolution and function of the Cs gene. We have now investigated this three-gene cluster in Scaptodrosophila lebanonensis (which diverged from D. melanogaster 60-65 MYA), as well as in D. melanogaster and D. simulans. Gene order and direction of transcription is the same in all three species. The Cs gene codes, in Scaptodrosophila, for a polypeptide of 544 amino acids; in D. melanogaster, it consists of 504 amino acids, which is twice as long as previously suggested, which makes the gene density even more spectacular. The Cs sequences exhibit higher number of non-synonymous substitutions between species, higher ratios of non-synonymous to synonymous substitutions, and lower codon usage bias than other genes, suggesting that Cs is less functionally constrained than the other genes. This is consistent with the failure of inducing phenotypic mutations in D. melanogaster. The function of Cs remains to be identified, but a high degree of similarity indicates that it is homologous to genes coding for a corticosteroid-binding protein in yeast and a polyamine oxidase in maize.",1999,"A Tatarenkov, A G SÃ¡ez, F J Ayala, A Tatarenkov, A G SÃ¡ez, F J Ayala"
Identification of novel Drosophila meiotic genes recovered in a P-element screen,10353897,,"The segregation of homologous chromosomes from one another is the essence of meiosis. In many organisms, accurate segregation is ensured by the formation of chiasmata resulting from crossing over. Drosophila melanogaster females use this type of recombination-based system, but they also have mechanisms for segregating achiasmate chromosomes with high fidelity. We describe a P-element mutagenesis and screen in a sensitized genetic background to detect mutations that impair meiotic chromosome pairing, recombination, or segregation. Our screen identified two new recombination-deficient mutations: mei-P22, which fully eliminates meiotic recombination, and mei-P26, which decreases meiotic exchange by 70% in a polar fashion. We also recovered an unusual allele of the ncd gene, whose wild-type product is required for proper structure and function of the meiotic spindle. However, the screen yielded primarily mutants specifically defective in the segregation of achiasmate chromosomes. Although most of these are alleles of previously undescribed genes, five were in the known genes alphaTubulin67C, CycE, push, and Trl. The five mutations in known genes produce novel phenotypes for those genes.",1999,"J J Sekelsky, K S McKim, L Messina, R L French, W D Hurley, T Arbel, G M Chin, B Deneen, S J Force, K L Hari, J K Jang, A C LaurenÃ§on, L D Madden, H J Matthies, D B Milliken, S L Page, A D Ring, S M Wayson, C C Zimmerman, R S Hawley, J J Sekelsky, K S McKim, L Messina, R L French, W D Hurley, T Arbel, G M Chin, B Deneen, S J Force, K L Hari, J K Jang, A C LaurenÃ§on, L D Madden, H J Matthies, D B Milliken, S L Page, A D Ring, S M Wayson, C C Zimmerman, R S Hawley"
Lack of nucleotide polymorphism in the Y-linked sperm flagellar dynein gene Dhc-Yh3 of Drosophila melanogaster and D. simulans,10581278,,"We studied levels of intra- and interspecific nucleotide variation associated with a Y-linked gene in five members of the Drosophila melanogaster subgroup. Using published sequence for 348 bp of the Dhc-Yh3 gene, and degenerate PCR primers designed from comparisons of the sea urchin and Chlamydomonas flagellar dynein genes, we recovered a 1738-bp region in D. melanogaster. Analyses of sequence variation in a worldwide collection of 11 lines of D. melanogaster and 10 lines of D. simulans found only a single silent polymorphism in the latter species. The synonymous site divergence per site for Dhc-Yh3 is comparable to values for X and autosomal genes. Assuming a Wright-Fisher population model, the lack of variation is statistically less than expected using appropriately reduced estimates of theta from the X and autosomes. Because the Y chromosome encodes only six known genes, genetic hitchhiking associated with background selection is unlikely to explain this low variation. Conversely, adaptive hitchhiking, as associated with sex-ratio chromosomes, or a large variance in male fertility may reduce the polymorphism on the Y chromosome. Codon bias is very low, as seen for other genes in regions of low recombination.",1999,"M Zurovcova, W F Eanes, M Zurovcova, W F Eanes"
"Effect of bisacylhydrazine ecdysteroid mimics (RH-5849 and RH-5992) on chromosomal puffing, imaginal disc proliferation and pupariation in larvae of Drosophila melanogaster",10560140,10.1016/s0965-1748(99)00077-6,"Two bisacylhydrazine insecticides with ecdysone-mimetic action, RH-5849 and RH-5992, have been subjected to several bioassay procedures that are prerequisites for ecdysone action in Drosophila larvae: (a) induction of early ecdysone-specific puffs on the polytene chromosomes of the larval salivary glands; (b) secretion of glycoprotein glue into the lumen of the salivary glands; (c) evagination of imaginal discs of adult wings and legs; and (d) partial rescue of wild-type phenotypic expression in ecdysone-deficient mutants (ecdysoneless1 (ecd1) and suppressor of forkedts67g (su(f)ts67g). In all these bioassays on Drosophila larvae, the two purely synthetic hydrazines exhibited similar dose-response relationships as did the natural steroid hormone, 20-hydroxyecdysone. In assays involving induction of early chromosomal puffs (74EF, 75B) or regression of the preexisting puffs (25AC, 68C), the dosages required for induction of standard ED-50 effects were one order of magnitude larger for the hydrazines in comparison with 20-hydroxyecdysone. In the assays related to glycoprotein glue secretion, evagination of imaginal discs, or rescue of phenotypic expression in ecdysone-deficient mutants, 20-hydroxyecdysone was two orders of magnitude more active than RH-5849 and RH-5992. We conclude that, in spite of these quantitative differences, the two hydrazine compounds studied are able to duplicate in Drosophila larvae the complex of qualitative biological effects that are a prerequisite for ecdysteroid hormones. The hormonomimetic stimulus of RH-compounds has been given at very low, intracellular, chromosomal level.",1999,"R Farkas, K SlÃ¡ma, R Farkas, K SlÃ¡ma"
Structural instability of 297 element in Drosophila melanogaster,10761108,10.1023/a:1003957606743,"297 element Southern pattern modifications previously detected in mutation accumulation lines of Drosophila melanogaster were further investigated by in situ hybridisation, Southern blotting with different combinations of genomic digest-probe, and PCR. Only one out of the nine pattern modifications studied could be interpreted as an excision and was detectable by in situ hybridisation to polytene chromosomes. Results were consistent with most pattern modifications being small rearrangements within the body of the element. In agreement with the existence of spontaneous rearrangements of this kind is the observation that many genomic copies of element 297 are defective and these are not limited to heterochromatin. These findings have important implications for the models of transposable element (TE) number regulation as well as for the study of genome evolution.",1999,"A DomÃ­nguez, J Albornoz, A DomÃ­nguez, J Albornoz"
Evolution of the amylase isozymes in the Drosophila melanogaster species subgroup,10626037,10.1023/a:1018755109757,"The relationship between the net charge of molecules and their mobility on electrophoresis was analyzed for Drosophila alpha-amylases. Most of the differences in electrophoretic mobility, 98.2%, can be explained by the charge state. Therefore five reference amino acid sites, which are informative residues for charge differences among amylase isozymes, were considered for the evolution of the isozymes in Drosophila melanogaster. The amylase isozymes in D. melanogaster can be classified into three groups, I (AMY1, AMY2, and AMY3-A), II (AMY3-B and AMY4), and III (AMY5, AMY6-A, and AMY6-B), based on the differences in the reference sites. The most primitive amylase in D. melanogaster was found to belong to Group I, most likely the AMY2 isozyme. Groups II and III could have been derived from Group I. These results were confirmed by the analysis of 38 amino acid sites with charge differences in Drosophila.",1999,"Y Matsuo, N Inomata, T Yamazaki"
Spectral sensitivity of wild-type and mutant Drosophila melanogaster larvae,10928215,10.3109/01677069909083471,"Wild-type (Canton-S) Drosophila melanogaster larvae are generally repelled by white light. Mutant larval photokinesis A (lphA) larvae are less strongly repelled than controls. Mutant Larval photokinesis B (LphB) larvae are unresponsive to light, as are larvae from LI2, an isofemale line whose progenitors were recently derived from a natural population. To characterize the behavior of larvae from the mutant stocks and the isofemale line more precisely, we determined the range of wavelengths that repel wild-type (Canton-S) D. melanogaster larvae and identified wavelengths to which larvae are most sensitive. In comparison to adult flies, Canton-S larvae are much less sensitive to white light and respond to a narrower range of wavelengths. The wavelengths to which Canton-S larvae are maximally sensitive are 500 nm (green), 420 nm (indigo), and 380 nm (ultraviolet). Mutant lphA larvae respond abnormally to green and indigo light but are as strongly repelled by ultraviolet light as controls. In contrast, mutant LphB larvae and larvae from the LI2 isofemale line are unresponsive to green, indigo, or ultraviolet light. Thus, lphA larvae have a wavelength-specific defect, while LphB and LI2 larvae are generally unresponsive to wavelengths that repel wild-type larvae.",1999,"J M Warrick, M F Vakil, L Tompkins, J M Warrick, M F Vakil, L Tompkins"
Polymorphism in structure of the retrotransposable element 412 in Drosophila simulans and D. melanogaster populations,10352229,10.1016/s0378-1119(99)00126-2,"The structure of the 412 retrotransposable element was investigated in various natural populations of D. melanogaster and D. simulans by a restriction enzyme analysis. We show that although the canonical structure of the 412 element was the same in both species, a high structural polymorphism existed with various rearranged elements. A 412 family was thus composed of heterogeneous copies of different sizes, with a large proportion of full-size copies. D. simulans had more rearranged copies than D. melanogaster, with some specific copies, such as a 5.6-kb BsrBI fragment, present in all populations of D. simulans. Full-size and rearranged copies were detected in both the euchromatin and the heterochromatin, with many rearranged copies in D. simulans, suggesting a recent mobilization of the 412 element in this species.",1999,"G Cizeron, C BiÃ©mont, G Cizeron, C BiÃ©mont"
